Latitude,Longitude,Altitude,Direction,Slope
-26.482652,27.81866,1533.0,30.64,0.00394
-26.480959,27.820022,1537.0,35.76,0.01724
-26.474462,27.825469,1554.0,36.89,0.01882
-26.453902,27.84259,1602.0,36.71,0.01683
-26.451499,27.844815,1603.0,39.66,0.00288
-26.44934,27.846982,1606.0,41.94,0.00929
-26.445288,27.851633,1608.0,45.78,0.0031
-26.443174,27.854231,1611.0,47.74,0.00858
-26.438897,27.859617,1621.0,48.43,0.01395
-26.433576,27.866153,1608.0,47.73,-0.01478
-26.431465,27.868291,1611.0,42.21,0.00947
-26.429886,27.869733,1603.0,39.28,-0.03527
-26.42629,27.872536,1586.0,34.92,-0.03486
-26.423625,27.874587,1579.0,34.57,-0.01945
-26.420365,27.877118,1592.0,34.81,0.02944
-26.417911,27.87897,1596.0,34.05,0.01215
-26.415894,27.88049,1600.0,34.02,0.01478
-26.414182,27.881814,1601.0,34.71,0.00432
-26.41252,27.883136,1603.0,35.47,0.00881
-26.410568,27.884635,1606.0,34.52,0.01139
-26.407353,27.887069,1602.0,34.14,-0.00926
-26.40576,27.888287,1599.0,34.4,-0.01397
-26.403773,27.889808,1602.0,34.44,0.0112
-26.401495,27.891282,1604.0,30.1,0.00683
-26.399798,27.892169,1602.0,25.09,-0.0096
-26.398094,27.8929,1600.0,21.02,-0.00985
-26.396227,27.893528,1601.0,16.77,0.00461
-26.394156,27.894027,1607.0,12.18,0.02547
-26.391808,27.894357,1612.0,7.18,0.019
-26.389229,27.894439,1617.0,1.63,0.01743
-26.385368,27.894397,1625.0,359.44,0.01863
-26.383217,27.894527,1631.0,3.1,0.02505
-26.380652,27.894928,1638.0,7.97,0.02431
-26.37786,27.895638,1650.0,12.83,0.03769
-26.375537,27.896449,1659.0,17.37,0.03325
-26.37356,27.897335,1665.0,21.88,0.02533
-26.371339,27.898533,1669.0,25.79,0.01458
-26.36831,27.900612,1653.0,31.59,-0.04047
-26.366831,27.90185,1647.0,36.87,-0.02919
-26.365382,27.9032,1637.0,39.85,-0.04765
-26.363847,27.90483,1626.0,43.57,-0.04669
-26.362474,27.906503,1626.0,47.51,0.0
-26.360091,27.90964,1632.0,49.71,0.01464
-26.358636,27.911542,1633.0,49.51,0.00401
-26.357176,27.913339,1628.0,47.8,-0.02069
-26.355834,27.914937,1623.0,46.86,-0.02291
-26.354379,27.916583,1615.0,45.39,-0.03473
-26.353084,27.917991,1601.0,44.25,-0.06964
-26.3507,27.920429,1586.0,42.5,-0.04172
-26.348669,27.922388,1576.0,40.84,-0.0335
-26.346589,27.924285,1562.0,39.26,-0.04687
-26.34481,27.925804,1556.0,37.42,-0.02409
-26.342794,27.927458,1555.0,36.32,-0.00359
-26.340551,27.929164,1553.0,34.28,-0.00663
-26.337899,27.931066,1546.0,32.73,-0.01997
-26.336047,27.932295,1541.0,30.74,-0.02087
-26.334464,27.933299,1541.0,29.61,0.0
-26.332826,27.934304,1537.0,28.81,-0.01924
-26.330806,27.935462,1533.0,27.19,-0.01584
-26.32913,27.936366,1529.0,25.8,-0.01932
-26.32654,27.9377,1532.0,24.78,0.00946
-26.324567,27.938629,1534.0,22.88,0.0084
-26.322196,27.939659,1535.0,21.27,0.00353
-26.319675,27.94068,1531.0,19.95,-0.01341
-26.317616,27.94144,1532.0,18.31,0.00415
-26.314252,27.942531,1545.0,16.21,0.03337
-26.311003,27.943509,1551.0,15.1,0.01603
-26.309014,27.944022,1555.0,13.02,0.01762
-26.307009,27.944471,1562.0,11.35,0.03078
-26.305201,27.944842,1565.0,10.42,0.01468
-26.302663,27.945292,1577.0,9.03,0.04199
-26.300329,27.945625,1585.0,7.29,0.03058
-26.298011,27.945845,1596.0,4.86,0.04252
-26.294325,27.946134,1603.0,4.02,0.01704
-26.291918,27.946266,1605.0,2.81,0.00746
-26.288427,27.946433,1607.0,2.46,0.00515
-26.285207,27.946583,1620.0,2.39,0.03628
-26.282949,27.946695,1636.0,2.55,0.06366
-26.281111,27.946781,1643.0,2.4,0.03422
-26.278944,27.946854,1652.0,1.73,0.03733
